4.0	[NP]	this video	the movie	3.0,4.0,4.0,4.0,5.0
1.0	[FRAG]	mr. brunner , i have reason	oh , mr collins .	1.0,1.0,1.0,1.0
2.2	[NN]	editor	head	1.0,1.0,2.0,3.0,4.0
2.2	[SQ]	do you go	are you feeling	1.0,2.0,2.0,2.0,4.0
3.0	[WHPP]	on the basis of which	under which	1.0,3.0,3.0,4.0,4.0
5.0	[NN]	gladness	joy	5.0,5.0,5.0,5.0,5.0
2.4	[JJ]	uncivilised	trashy	1.0,2.0,2.0,3.0,4.0
1.4	[SQ]	's up , girl	's everything at home	1.0,1.0,1.0,2.0,2.0
4.0	[FRAG]	oh , yes , yes .	yes , dear .	3.0,4.0,4.0,4.0,5.0
2.0	[NNP]	sedirout	siderot	1.0,1.0,1.0,3.0,4.0
1.4	[VBZ]	explains	supplements	1.0,1.0,1.0,1.0,3.0
1.2	[MD]	might	person	1.0,1.0,1.0,1.0,2.0
1.2	[JJ]	labor-intensive	crowded	1.0,1.0,1.0,1.0,2.0
3.2	[PP]	in subsequent years	in the near future	2.0,3.0,3.0,4.0,4.0
1.4	[SQ]	is it , the feds	is it , guy	1.0,1.0,1.0,1.0,3.0
1.0	[MD]	competence	shall	1.0,1.0,1.0,1.0,1.0
1.6	[CD]	80.00	80,000	1.0,1.0,1.0,2.0,3.0
4.6	[S]	it 's serious	this is serious	4.0,4.0,5.0,5.0,5.0
2.6	[CD]	98	1997-1998	1.0,2.0,2.0,4.0,4.0
2.4	[VBZ]	afflicts	stabs	2.0,2.0,2.0,2.0,4.0
4.8	[X]	enhance cooperation in	strengthen cooperation in	4.0,5.0,5.0,5.0,5.0
3.0	[WHADVP]	how strongly	how long precisely	1.0,3.0,3.0,3.0,5.0
1.8	[VBZ]	lacks	violates	1.0,1.0,1.0,2.0,4.0
1.0	[S]	i 'm sure	were you	1.0,1.0,1.0,1.0,1.0
1.0	[IN]	submit	if	1.0,1.0,1.0,1.0,1.0
2.4	[WHADVP]	how soon	only when	1.0,2.0,3.0,3.0,3.0
2.8	[X]	social worker .	social .	2.0,2.0,3.0,3.0,4.0
3.2	[NP]	the " act "	the indian act	2.0,3.0,3.0,4.0,4.0
2.4	[CD]	400	200	1.0,2.0,2.0,3.0,4.0
4.0	[NP]	the draft recommendations	a draft recommendation	4.0,4.0,4.0,4.0,4.0
3.8	[SBAR]	as is feasible	as i could	3.0,4.0,4.0,4.0,4.0
2.8	[VBN]	paralyzed	hampered	1.0,3.0,3.0,3.0,4.0
2.8	[IN]	install	input	1.0,2.0,3.0,4.0,4.0
1.8	[JJ]	effluent	compound	1.0,1.0,2.0,2.0,3.0
1.6	[MD]	would	commitment	1.0,1.0,1.0,2.0,3.0
3.8	[CC]	depress	press	1.0,4.0,4.0,5.0,5.0
2.2	[SBAR]	what i am doing	that i do	1.0,2.0,2.0,2.0,4.0
1.75	[SBARQ]	what 's your real name ?	what is it ? .	1.0,1.0,2.0,3.0
2.8	[VBZ]	amalgamates	contains	2.0,2.0,2.0,4.0,4.0
2.4	[SBARQ]	- what 's going on ?	-how did i know what ?	1.0,2.0,3.0,3.0,3.0
1.2	[NNP]	olsen	god	1.0,1.0,1.0,1.0,2.0
3.6	[NN]	gunfighter	vigilante	3.0,3.0,3.0,4.0,5.0
3.4	[WHNP]	what data	which tasks	3.0,3.0,3.0,4.0,4.0
3.6	[SQ]	should you do	're you gonna do	2.0,3.0,4.0,4.0,5.0
4.4	[ADJP]	climb in	hop in	3.0,4.0,5.0,5.0,5.0
2.4	[JJS]	shortest	narrowest	1.0,2.0,3.0,3.0,3.0
2.8	[VBG]	envisaging	seeing	1.0,3.0,3.0,3.0,4.0
2.2	[VBZ]	implicates	encompasses	1.0,2.0,2.0,3.0,3.0
1.4	[VBN]	closed	ordered	1.0,1.0,1.0,1.0,3.0
2.4	[VBP]	apply	assume	1.0,2.0,3.0,3.0,3.0
2.6	[ADVP]	earlier tuesday	earlier on saturday	1.0,2.0,3.0,3.0,4.0
1.6	[LS]	314	143	1.0,1.0,2.0,2.0,2.0
2.2	[VB]	highjack	shift	1.0,2.0,2.0,3.0,3.0
4.4	[JJ]	high-skilled	well-qualified	3.0,4.0,5.0,5.0,5.0
2.6	[PRN]	-lrb- sla -rrb-	-lrb- slas -rrb-	1.0,1.0,3.0,4.0,4.0
2.2	[PP]	in canada	to the nation	1.0,2.0,2.0,3.0,3.0
1.2	[ADJP]	that expensive	very dear	1.0,1.0,1.0,1.0,2.0
1.2	[IN]	submit	before	1.0,1.0,1.0,1.0,2.0
1.0	[MD]	hell	t	1.0,1.0,1.0,1.0,1.0
1.4	[VB]	experience	stay	1.0,1.0,1.0,2.0,2.0
2.4	[JJ]	energetic	rampant	1.0,2.0,3.0,3.0,3.0
3.2	[NNP]	olsen	olson	1.0,3.0,4.0,4.0,4.0
1.2	[VBP]	attempt	question	1.0,1.0,1.0,1.0,2.0
2.0	[NN]	company	type	1.0,1.0,2.0,2.0,4.0
1.8	[VBG]	insuring	provide	1.0,1.0,1.0,2.0,4.0
4.2	[S]	you shut up .	shut the fuck up .	4.0,4.0,4.0,4.0,5.0
3.8	[NX]	policy secretaries	bureau secretary	3.0,4.0,4.0,4.0,4.0
4.0	[NP]	the draft recommendations	draft recommendation	4.0,4.0,4.0,4.0,4.0
4.4	[JJ]	center-left	centre-left	4.0,4.0,4.0,5.0,5.0
2.5	[TOP]	replyg	answer :	1.0,1.0,4.0,4.0
